"Id","SalePrice"
1461,120875.407271619
1462,160283.017058102
1463,182510.326617061
1464,190364.754875146
1465,184605.883073806
1466,172300.675934915
1467,171317.252142374
1468,167439.846489025
1469,193317.758358658
1470,125113.144454262
1471,195178.389095162
1472,96206.8232437843
1473,95178.3379440044
1474,149408.606188128
1475,127971.818845662
1476,378595.991424188
1477,256114.67815934
1478,280545.391451381
1479,268118.320049335
1480,449982.064851157
1481,356644.709490481
1482,208976.107131672
1483,165221.662212514
1484,158908.485958258
1485,191775.48538017
1486,195838.799769274
1487,336457.715458417
1488,237335.871905631
1489,200738.391577759
1490,229294.387850794
1491,189251.334450831
1492,80062.8634391153
1493,192873.403889708
1494,303731.2387097
1495,297098.224317664
1496,248839.979251131
1497,181582.367539
1498,156076.903139587
1499,154542.74056697
1500,147550.821505645
1501,175407.188436808
1502,154575.020911703
1503,274727.182641332
1504,244361.163431744
1505,233704.902697527
1506,195952.012939275
1507,240584.854732368
1508,205859.879408598
1509,161937.006893983
1510,148570.576048567
1511,140483.749522383
1512,175495.20048968
1513,152085.703257057
1514,172694.504376012
1515,195474.011559101
1516,157829.062770497
1517,159765.970593739
1518,134235.515205745
1519,214754.391697543
1520,136088.17133844
1521,132352.531490806
1522,177935.79915815
1523,106138.308688636
1524,125941.670027526
1525,113981.908045586
1526,123777.056765034
1527,100095.85848771
1528,134487.94567441
1529,151759.85734611
1530,169390.633684815
1531,119453.381052098
1532,102098.013263015
1533,146279.897020468
1534,118628.502339083
1535,152247.363930656
1536,113840.249236492
1537,63347.8046407115
1538,163369.826158211
1539,218054.748376979
1540,97353.6904219187
1541,130695.608211976
1542,142437.174875058
1543,220273.592754088
1544,81640.9497547815
1545,102632.792240315
1546,133841.929114709
1547,134013.97284369
1548,132171.780033869
1549,118571.836266533
1550,136756.376024434
1551,109055.399277551
1552,114016.154198973
1553,145762.975971143
1554,113968.429841877
1555,172036.161709752
1556,89173.2522134676
1557,103672.795155898
1558,80633.8793153461
1559,90185.2564508091
1560,147674.562225013
1561,144312.43946935
1562,132261.305010222
1563,128134.972793178
1564,153671.516521328
1565,141023.500224346
1566,257212.485480404
1567,73752.9347469525
1568,227475.942957629
1569,153916.160751935
1570,143695.40395611
1571,123437.088491169
1572,145307.457066771
1573,233049.002289457
1574,103894.897189445
1575,206530.628492126
1576,221534.452229492
1577,197351.443216349
1578,135834.032694828
1579,136820.036306
1580,194481.994383489
1581,145548.363040203
1582,132693.388258215
1583,340286.471843216
1584,228589.817478974
1585,144972.213341399
1586,54101.0139986648
1587,109977.940921326
1588,146219.36508099
1589,90615.4560035929
1590,138339.125244592
1591,91736.0791149096
1592,113985.930076421
1593,128820.749390414
1594,119544.323510745
1595,125896.517765032
1596,228008.06237739
1597,200697.045002024
1598,234213.841598881
1599,175751.288644819
1600,173887.36883349
1601,53896.2103190834
1602,111508.778397062
1603,74985.4233923064
1604,310910.295988478
1605,234130.988314958
1606,165879.869374822
1607,161459.426810562
1608,223124.457604827
1609,190058.733048547
1610,153209.838043465
1611,138770.152530699
1612,151461.285064887
1613,145675.564645426
1614,135853.983539796
1615,83068.2906445314
1616,76117.5476040875
1617,87193.4951111737
1618,123752.270217138
1619,140146.669670289
1620,168404.866989959
1621,125310.770326361
1622,140905.601375007
